CLAVE,CLAVE_OMM,NOMBRE,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,INICIO,FIN,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES
00002119,,CANCIO,TIJUANA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO LAS PALOMAS,CLIMATOLOGICA,CONAGUA-DGE,01/11/1980,29/02/1996,SUSPENDIDA,32,18,35,116,36,0,450.0,
00002120,,EJIDO MEXICO,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,RIO SAN RAFAEL,CLIMATOLOGICA,CONAGUA-DGE,01/10/1980,30/11/2010,OPERANDO,31,4,20,116,12,22,75.0,
00002121,,EL HONGO,TECATE,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO LAS PALOMAS,CLIMATOLOGICA,CONAGUA-DGE,01/12/1978,28/02/2011,OPERANDO,32,30,59,116,18,10,960.0,
00002122,,REAL DEL CASTILLO VIEJO,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,BAHIA ENSENADA,CLIMATOLOGICA,CONAGUA-DGE,01/01/1980,31/12/1990,SUSPENDIDA,31,57,5,116,44,45,610.0,
00002124,,EL CARRIZO II,TECATE,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO TIJUANA,CLIMATOLOGICA,CONAGUA-DGE,01/01/1980,30/06/2011,OPERANDO,32,29,26,116,41,2,300.0,
00002131,,EJIDO RUBEN JARAMILLO,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,ARROYO SANTO DOMINGO,CLIMATOLOGICA,CONAGUA-DGE,01/09/1980,31/12/1984,SUSPENDIDA,30,55,25,116,7,39,60.0,
00002132,,EJIDO ZARAHEMILA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO ESCOPETA-CAÑON SAN FERNANDO,ARROYO DE LA ESCOPETA,CLIMATOLOGICA,CONAGUA-DGE,01/01/1980,30/04/1991,SUSPENDIDA,30,41,25,116,0,23,8.0,
00002134,,EJIDO CUERNAVACA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,CANAL CERRO PRIETO,CLIMATOLOGICA,CONAGUA-DGE,01/01/1981,30/11/1987,SUSPENDIDA,32,33,42,115,18,20,8.0,
00002136,,AGUA HECHICERA,TECATE,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO TIJUANA,CLIMATOLOGICA,CONAGUA,01/01/2004,31/12/2009,OPERANDO,32,32,13,116,37,12,1165.0,
00002137,,COLONIA MARIANA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,RIO HARDY,CLIMATOLOGICA,CONAGUA-DGE,01/06/1981,30/11/2010,OPERANDO,32,15,31,115,19,20,9.0,
00002138,,COLONIA SIETE,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,RIO NUEVO,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,31/12/1997,SUSPENDIDA,32,31,48,115,24,40,7.0,
00002139,,COLONIA RODRIGUEZ,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,RIO COLORADO,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,31/12/2009,OPERANDO,32,25,7,115,2,10,17.0,
00002140,,COLONIA ZARAGOZA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,CANAL CERRO PRIETO,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,30/06/2002,OPERANDO,32,36,37,115,31,52,8.0,
00002141,,COMPUERTA BENASSINI,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,CANAL DEL ALAMO,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,30/11/2010,OPERANDO,32,34,13,115,6,39,20.0,
00002142,,EJIDO GUADALAJARA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,RIO LAS ABEJAS,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,28/02/1987,SUSPENDIDA,32,32,52,114,52,43,8.0,
00002143,,EJIDO PLAN LIBERTADOR,PLAYAS DE ROSARITO,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,ARROYO EL DESCANSO,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,31/10/1984,SUSPENDIDA,32,24,0,117,0,0,200.0,
00002144,,ENSENADA BLANCA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,SAN MIGUEL-ARROYO DEL VIGIA,ARROYO PARAISO,CLIMATOLOGICA,CONAGUA-DGE,01/10/1953,30/11/1985,SUSPENDIDA,28,24,38,113,51,50,10.0,
